product_id,product_title,image_id,new_alt
14817536246129,Sunscreen Every Day Package,31585022050409,Sunscreen Every Day Package
14817536246129,Sunscreen Every Day Package,31585022017641,Sunscreen Every Day Package
14817543127409,Winter Vacation Package,59389394944369,Winter Vacation Package
14817543127409,Winter Vacation Package,30975019712617,Winter Vacation Package
14817543127409,Winter Vacation Package,31302169198697,Winter Vacation Package
14817543127409,Winter Vacation Package,59389394911601,Winter Vacation Package
14817547944305,Mini-Me Adventure Package,59389297492337,Mini-Me Adventure Package
14817547944305,Mini-Me Adventure Package,30975023415401,Mini-Me Adventure Package
14817547944305,Mini-Me Adventure Package,59389334913393,Mini-Me Adventure Package
14817547944305,Mini-Me Adventure Package,31302169198697,Mini-Me Adventure Package
14817547944305,Mini-Me Adventure Package,30975016566889,Mini-Me Adventure Package
14817547944305,Mini-Me Adventure Package,30975012634729,Mini-Me Adventure Package
14881132511601,Mini Me Kit,59411744358769,Mini Me Kit
14931859931505,Gal Pal Duo,59588141482353,Gal Pal Duo
14931859931505,Gal Pal Duo,59588935811441,Gal Pal Duo
14931859931505,Gal Pal Duo,59588937646449,Gal Pal Duo
14931859931505,Gal Pal Duo,59588141416817,Gal Pal Duo
15024657957233,The Dad Kit,74106153173361,The Dad Kit
15024657957233,The Dad Kit,74106143900017,The Dad Kit
15024657957233,The Dad Kit,74106143932785,The Dad Kit
15030702965105,Vacation Hydration SPF Kit,73914866303345,Vacation Hydration SPF Kit
15030702965105,Vacation Hydration SPF Kit,32263120257129,Vacation Hydration SPF Kit
15055306293617,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,74243802497393,Touch of Tan Mineral Powder Sunscreen Refill SPF 30
15261839458673,Touch of Tan SPF 30 Brush + Refill Set,74243802497393,Touch of Tan SPF 30 Brush + Refill Set
